"WTSHM41.Code.or.Value","WTSHM41.Value.Description","WTSHM41.Count","WTSHM41.Cumulative","WTSHM41.Skip.to.Item"
"0.0000000 to 782508.0707800","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
