"AUDTYL51.Code.or.Value","AUDTYL51.Value.Description","AUDTYL51.Count","AUDTYL51.Cumulative","AUDTYL51.Skip.to.Item"
"0 to 4.53","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
