"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.56 to 8.02","Range of Values",2521,2521,NA
".","Missing",84,2605,NA
