"WTSAU38.Code.or.Value","WTSAU38.Value.Description","WTSAU38.Count","WTSAU38.Cumulative","WTSAU38.Skip.to.Item"
"0 to 476907.8197","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
