"LBD105LC.Code.or.Value","LBD105LC.Value.Description","LBD105LC.Count","LBD105LC.Cumulative","LBD105LC.Skip.to.Item"
"0","At or above the detection limit",242,242,NA
"1","Below lower detection limit",9,251,NA
".","Missing",0,251,NA
