"DXXSPX.Code.or.Value","DXXSPX.Value.Description","DXXSPX.Count","DXXSPX.Cumulative","DXXSPX.Skip.to.Item"
"0 to 3","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
