"BIXC006K.Code.or.Value","BIXC006K.Value.Description","BIXC006K.Count","BIXC006K.Cumulative","BIXC006K.Skip.to.Item"
"13.6 to 623.63","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
