"MCD180e.Code.or.Value","MCD180e.Value.Description","MCD180e.Count","MCD180e.Cumulative","MCD180e.Skip.to.Item"
"19 to 79","Range of Values",251,251,NA
"16","16 years or younger",2,253,NA
"80","80 years or older",15,268,NA
"77777","Refused",0,268,NA
"99999","Don't know",2,270,NA
".","Missing",8627,8897,NA
