"MCQ260FH.Code.or.Value","MCQ260FH.Value.Description","MCQ260FH.Count","MCQ260FH.Cumulative","MCQ260FH.Skip.to.Item"
"8","Sister",195,195,"MCQ250G"
".","Missing",10275,10470,""
