"AUXU3KL.Code.or.Value","AUXU3KL.Value.Description","AUXU3KL.Count","AUXU3KL.Cumulative","AUXU3KL.Skip.to.Item"
"-10 to 120","Range of Values",2732,2732,NA
"666","No response",0,2732,NA
"888","Could not obtain",14,2746,NA
".","Missing",288,3034,NA
