"CBQ510.Code.or.Value","CBQ510.Value.Description","CBQ510.Count","CBQ510.Cumulative","CBQ510.Skip.to.Item"
"1","Yes",321,321,NA
"2","No",1858,2179,NA
"7","Refused",0,2179,NA
"9","Don't know",0,2179,NA
".","Missing",766,2945,NA
