"SMQ815.Code.or.Value","SMQ815.Value.Description","SMQ815.Count","SMQ815.Cumulative","SMQ815.Skip.to.Item"
"1","Today",45,45,NA
"2","Yesterday",36,81,NA
"3","3 to 5 days ago",9,90,NA
"7","Refused",0,90,NA
"9","Don't know",0,90,NA
".","Missing",6827,6917,NA
