"LBXACR.Code.or.Value","LBXACR.Value.Description","LBXACR.Count","LBXACR.Cumulative","LBXACR.Skip.to.Item"
"11.6 to 749","Range of Values",2348,2348,NA
".","Missing",407,2755,NA
