"DSQTNIAC.Code.or.Value","DSQTNIAC.Value.Description","DSQTNIAC.Count","DSQTNIAC.Cumulative","DSQTNIAC.Skip.to.Item"
"0.05 to 3000","Range of Values",2044,2044,NA
".","Missing",8131,10175,NA
