"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",675,675,NA
"2","Day 1 and day 2",5393,6068,NA
".","Missing",0,6068,NA
