"DR2IVK.Code.or.Value","DR2IVK.Value.Description","DR2IVK.Count","DR2IVK.Cumulative","DR2IVK.Skip.to.Item"
"0 to 1593.3","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
