"LBDHDTLC.Code.or.Value","LBDHDTLC.Value.Description","LBDHDTLC.Count","LBDHDTLC.Cumulative","LBDHDTLC.Skip.to.Item"
"0","At or above the detection limit",4482,4482,NA
"1","Below lower detection limit",0,4482,NA
".","Missing",941,5423,NA
