"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"176.8 to 408.7","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
