"AUDTYL10.Code.or.Value","AUDTYL10.Value.Description","AUDTYL10.Count","AUDTYL10.Cumulative","AUDTYL10.Skip.to.Item"
"0 to 2.41","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
