"URDMC1LC.Code.or.Value","URDMC1LC.Value.Description","URDMC1LC.Count","URDMC1LC.Cumulative","URDMC1LC.Skip.to.Item"
"0","At or above the detection limit",2672,2672,NA
"1","Below lower detection limit",77,2749,NA
".","Missing",70,2819,NA
