"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.034 to 8.02","Range of Values",2724,2724,NA
".","Missing",448,3172,NA
