"DRD350CQ.Code.or.Value","DRD350CQ.Value.Description","DRD350CQ.Count","DRD350CQ.Cumulative","DRD350CQ.Skip.to.Item"
"1 to 5","Range of Values",30,30,NA
".","Missing",9613,9643,NA
