"URDMX3LC.Code.or.Value","URDMX3LC.Value.Description","URDMX3LC.Count","URDMX3LC.Cumulative","URDMX3LC.Skip.to.Item"
"0","At or above the detection limit",2708,2708,NA
"1","Below lower detection limit",6,2714,NA
".","Missing",117,2831,NA
