"AUXLR141.Code.or.Value","AUXLR141.Value.Description","AUXLR141.Count","AUXLR141.Cumulative","AUXLR141.Skip.to.Item"
"-41 to 117","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
