"DXXL1TBS.Code.or.Value","DXXL1TBS.Value.Description","DXXL1TBS.Count","DXXL1TBS.Cumulative","DXXL1TBS.Skip.to.Item"
"0.746 to 1.802","Range of Values",3546,3546,NA
".","Missing",4174,7720,NA
