"BIXC582K.Code.or.Value","BIXC582K.Value.Description","BIXC582K.Count","BIXC582K.Cumulative","BIXC582K.Skip.to.Item"
"10.82 to 141.79","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
