"URXDMA.Code.or.Value","URXDMA.Value.Description","URXDMA.Count","URXDMA.Cumulative","URXDMA.Skip.to.Item"
"0.1 to 3890","Range of Values",2581,2581,NA
".","Missing",116,2697,NA
