"WTSPH50.Code.or.Value","WTSPH50.Value.Description","WTSPH50.Count","WTSPH50.Cumulative","WTSPH50.Skip.to.Item"
"0.0000000 to 775462.4038700","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
