"DXDSTLI.Code.or.Value","DXDSTLI.Value.Description","DXDSTLI.Count","DXDSTLI.Cumulative","DXDSTLI.Skip.to.Item"
"9772.6 to 107268.4","Range of Values",4586,4586,NA
".","Missing",1194,5780,NA
