"WTSPH20.Code.or.Value","WTSPH20.Value.Description","WTSPH20.Count","WTSPH20.Cumulative","WTSPH20.Skip.to.Item"
"0.0000000 to 785428.9991600","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
