"WTSBA49.Code.or.Value","WTSBA49.Value.Description","WTSBA49.Count","WTSBA49.Cumulative","WTSBA49.Skip.to.Item"
"0 to 350114.48266","Range of Values",946,946,NA
".","Missing",65,1011,NA
