"BPXOPLS2.Code.or.Value","BPXOPLS2.Value.Description","BPXOPLS2.Count","BPXOPLS2.Cumulative","BPXOPLS2.Skip.to.Item"
"34 to 141","Range of Values",5244,5244,NA
".","Missing",1888,7132,NA
