"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"L2","L2",3286,3286,NA
"< blank >","Missing",422,3708,NA
