"RHQ172.Code.or.Value","RHQ172.Value.Description","RHQ172.Count","RHQ172.Cumulative","RHQ172.Skip.to.Item"
"1","Yes",311,311,""
"2","No",1475,1786,"RHQ171"
"7","Refused",0,1786,"RHQ171"
"9","Don't know",9,1795,"RHQ171"
".","Missing",1503,3298,""
