"OHQ860.Code.or.Value","OHQ860.Value.Description","OHQ860.Count","OHQ860.Cumulative","OHQ860.Skip.to.Item"
"1","Yes",603,603,NA
"2","No",3928,4531,NA
"7","Refused",1,4532,NA
"9","Don't know",33,4565,NA
".","Missing",4799,9364,NA
