"LBX149LA.Code.or.Value","LBX149LA.Value.Description","LBX149LA.Count","LBX149LA.Cumulative","LBX149LA.Skip.to.Item"
"0.4 to 13.2","Range of Values",2307,2307,NA
".","Missing",240,2547,NA
