"WBXA099.Code.or.Value","WBXA099.Value.Description","WBXA099.Count","WBXA099.Cumulative","WBXA099.Skip.to.Item"
"-56.2723 to 0.9958","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
