"DR2ISODI.Code.or.Value","DR2ISODI.Value.Description","DR2ISODI.Count","DR2ISODI.Cumulative","DR2ISODI.Skip.to.Item"
"0 to 11754","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
