"DXXPT21Y.Code.or.Value","DXXPT21Y.Value.Description","DXXPT21Y.Count","DXXPT21Y.Cumulative","DXXPT21Y.Skip.to.Item"
"114.7 to 305.4","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
