"PAQ724h.Code.or.Value","PAQ724h.Value.Description","PAQ724h.Count","PAQ724h.Cumulative","PAQ724h.Skip.to.Item"
"8","FOOTBALL",252,252,NA
".","Missing",9232,9484,NA
