"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.029 to 2.72","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
