"DXXPT80X.Code.or.Value","DXXPT80X.Value.Description","DXXPT80X.Count","DXXPT80X.Cumulative","DXXPT80X.Skip.to.Item"
"575.3 to 1153.7","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
