"AUDTYL28.Code.or.Value","AUDTYL28.Value.Description","AUDTYL28.Count","AUDTYL28.Cumulative","AUDTYL28.Skip.to.Item"
"0 to 2.72","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
