"LBXRBCSI.Code.or.Value","LBXRBCSI.Value.Description","LBXRBCSI.Count","LBXRBCSI.Cumulative","LBXRBCSI.Skip.to.Item"
"1.67 to 8.3","Range of Values",8544,8544,NA
".","Missing",878,9422,NA
