"DRXTVB2.Code.or.Value","DRXTVB2.Value.Description","DRXTVB2.Count","DRXTVB2.Cumulative","DRXTVB2.Skip.to.Item"
"0 to 16.54","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
