"SSCYRRSG.Code.or.Value","SSCYRRSG.Value.Description","SSCYRRSG.Count","SSCYRRSG.Cumulative","SSCYRRSG.Skip.to.Item"
"0 to 2","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
