"TYXA157.Code.or.Value","TYXA157.Value.Description","TYXA157.Count","TYXA157.Cumulative","TYXA157.Skip.to.Item"
"0.09 to 6.419","Range of Values",2527,2527,NA
".","Missing",3058,5585,NA
