"DS2IPHOS.Code.or.Value","DS2IPHOS.Value.Description","DS2IPHOS.Count","DS2IPHOS.Cumulative","DS2IPHOS.Skip.to.Item"
"0.04 to 665","Range of Values",753,753,NA
".","Missing",4773,5526,NA
