"RHD230.Code.or.Value","RHD230.Value.Description","RHD230.Count","RHD230.Cumulative","RHD230.Skip.to.Item"
"0 to 13","Range of Values",1087,1087,NA
"77","Refused",0,1087,NA
"99","Don't know",0,1087,NA
".","Missing",2477,3564,NA
