"DR2TVB12.Code.or.Value","DR2TVB12.Value.Description","DR2TVB12.Count","DR2TVB12.Cumulative","DR2TVB12.Skip.to.Item"
"0 to 107.04","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
