"AUDTYR40.Code.or.Value","AUDTYR40.Value.Description","AUDTYR40.Count","AUDTYR40.Cumulative","AUDTYR40.Skip.to.Item"
"0 to 2.28","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
