"DR2IP204.Code.or.Value","DR2IP204.Value.Description","DR2IP204.Count","DR2IP204.Cumulative","DR2IP204.Skip.to.Item"
"0 to 1.142","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
