"URDCEMLC.Code.or.Value","URDCEMLC.Value.Description","URDCEMLC.Count","URDCEMLC.Cumulative","URDCEMLC.Skip.to.Item"
"0","At or above the detection limit",3003,3003,NA
"1","Below lower detection limit",12,3015,NA
".","Missing",264,3279,NA
