"WBXP052.Code.or.Value","WBXP052.Value.Description","WBXP052.Count","WBXP052.Cumulative","WBXP052.Skip.to.Item"
"-105.4545 to 158.6092","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
