"URXDPM.Code.or.Value","URXDPM.Value.Description","URXDPM.Count","URXDPM.Cumulative","URXDPM.Skip.to.Item"
"0.354 to 6.38","Range of Values",2356,2356,NA
".","Missing",106,2462,NA
