"DXXPT34Y.Code.or.Value","DXXPT34Y.Value.Description","DXXPT34Y.Count","DXXPT34Y.Cumulative","DXXPT34Y.Skip.to.Item"
"72.9 to 263.1","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
