"WBXA079.Code.or.Value","WBXA079.Value.Description","WBXA079.Count","WBXA079.Cumulative","WBXA079.Skip.to.Item"
"-2.225 to 0.9992","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
