"RFXC105.Code.or.Value","RFXC105.Value.Description","RFXC105.Count","RFXC105.Cumulative","RFXC105.Skip.to.Item"
"-7.646 to 5.249","Range of Values",51061,51061,NA
".","Missing",15,51076,NA
