"AUDTYL23.Code.or.Value","AUDTYL23.Value.Description","AUDTYL23.Count","AUDTYL23.Cumulative","AUDTYL23.Skip.to.Item"
"0 to 2.69","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
