"RHQ560U.Code.or.Value","RHQ560U.Value.Description","RHQ560U.Count","RHQ560U.Cumulative","RHQ560U.Skip.to.Item"
"1","Months",75,75,NA
"2","Years",255,330,NA
"7","Refused",0,330,NA
"9","Don't know",0,330,NA
".","Missing",3415,3745,NA
