"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0 to 3.2","Range of Values",8378,8378,NA
".","Missing",1062,9440,NA
