"URXUBA.Code.or.Value","URXUBA.Value.Description","URXUBA.Count","URXUBA.Cumulative","URXUBA.Skip.to.Item"
"0.042 to 60.11","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
