"URDTNE3.Code.or.Value","URDTNE3.Value.Description","URDTNE3.Count","URDTNE3.Cumulative","URDTNE3.Skip.to.Item"
"0.2329 to 401.2","Range of Values",553,553,NA
".","Missing",2726,3279,NA
