"LBC170LA.Code.or.Value","LBC170LA.Value.Description","LBC170LA.Count","LBC170LA.Cumulative","LBC170LA.Skip.to.Item"
"0.15 to 54.04","Range of Values",247,247,NA
".","Missing",0,247,NA
